lesson_id,lesson_name,course_id,duration
208,Project 10,750,46
209,Hands-on 4,930,37
210,Advanced 9,229,26
211,Case Study 4,261,46
212,Assessment Prep 7,903,30
213,Case Study 19,152,28
214,Basics 8,943,71
215,Advanced 17,927,65
216,Case Study 7,835,32
217,Assessment Prep 13,940,52
218,Advanced 1,1030,42
219,Case Study 14,330,83
220,Case Study 6,978,46
221,Basics 19,403,80
222,Assessment Prep 6,372,47
223,Advanced 9,753,23
224,Intro 11,880,27
225,Case Study 8,763,40
226,Advanced 16,937,89
227,Project 16,543,29
228,Intro 12,730,63
229,Advanced 7,689,90
230,Case Study 15,66,85
231,Case Study 4,850,59
232,Assessment Prep 19,269,65
233,Hands-on 19,174,60
234,Project 13,170,61
235,Case Study 6,132,80
236,Project 9,954,81
237,Assessment Prep 7,858,63
238,Project 18,572,43
239,Intro 3,433,63
240,Basics 1,461,47
241,Hands-on 15,860,49
242,Basics 5,976,53
243,Advanced 15,296,23
244,Intro 10,684,73
245,Case Study 11,840,66
246,Case Study 13,269,79
247,Basics 19,562,87
248,Hands-on 8,515,21
249,Assessment Prep 13,500,90
250,Intro 3,947,80
251,Advanced 14,981,21
252,Project 20,552,55
253,Assessment Prep 4,947,36
254,Basics 15,806,61
255,Assessment Prep 9,128,88
256,Intro 19,879,42
257,Basics 12,56,58
258,Project 17,425,81
259,Assessment Prep 11,522,63
260,Basics 19,338,38
261,Intro 4,880,79
262,Hands-on 19,528,37
263,Basics 7,812,78
264,Hands-on 15,765,53
265,Case Study 14,224,34
266,Project 14,52,44
267,Advanced 14,332,35
268,Case Study 1,544,49
269,Intro 6,795,20
270,Assessment Prep 5,853,57
271,Advanced 6,63,55
272,Hands-on 14,564,58
273,Assessment Prep 18,977,69
274,Basics 9,282,66
275,Assessment Prep 17,632,34
276,Advanced 14,909,20
277,Advanced 17,624,26
278,Basics 6,792,49
279,Project 13,744,34
280,Advanced 10,317,36
281,Intro 15,398,81
282,Hands-on 1,502,87
283,Basics 3,578,21
284,Assessment Prep 8,892,66
285,Case Study 13,802,23
286,Advanced 2,491,48
287,Intro 3,804,36
288,Case Study 12,63,67
289,Assessment Prep 1,117,26
290,Assessment Prep 9,973,25
291,Hands-on 12,839,37
292,Hands-on 7,772,72
293,Case Study 3,667,72
294,Basics 5,701,27
295,Hands-on 13,278,67
296,Advanced 15,517,55
297,Assessment Prep 3,982,74
298,Case Study 15,561,68
299,Advanced 20,159,30
300,Hands-on 12,234,25
301,Assessment Prep 20,332,60
302,Intro 3,356,58
303,Hands-on 11,94,69
304,Project 2,297,45
305,Case Study 4,774,49
306,Advanced 13,823,58
307,Hands-on 8,411,89
308,Hands-on 12,613,59
309,Assessment Prep 11,176,59
310,Assessment Prep 5,826,35
311,Advanced 8,179,64
312,Case Study 11,744,60
313,Case Study 18,882,73
314,Case Study 19,568,79
315,Project 17,794,49
316,Advanced 1,423,33
317,Advanced 4,427,22
318,Intro 20,918,33
319,Assessment Prep 17,544,31
320,Basics 8,267,47
321,Assessment Prep 12,467,44
322,Basics 15,241,56
323,Intro 11,226,56
324,Hands-on 1,426,46
325,Project 7,999,38
326,Advanced 12,134,78
327,Assessment Prep 13,549,60
328,Advanced 13,339,80
329,Assessment Prep 3,81,79
330,Project 4,131,84
331,Assessment Prep 2,540,59
332,Case Study 2,567,49
333,Project 7,278,26
334,Assessment Prep 16,750,39
335,Intro 9,256,75
336,Basics 4,106,31
337,Project 13,551,63
338,Advanced 18,500,79
339,Basics 15,770,89
340,Case Study 12,240,61
341,Basics 19,211,62
342,Project 12,814,27
343,Advanced 3,298,89
344,Assessment Prep 6,658,78
345,Intro 16,129,42
346,Assessment Prep 14,580,35
347,Project 12,767,88
348,Project 2,761,39
349,Basics 17,212,86
350,Basics 1,501,21
351,Intro 20,616,39
352,Advanced 9,440,35
353,Assessment Prep 8,477,46
354,Intro 17,967,76
355,Advanced 1,684,22
356,Project 7,406,77
357,Basics 19,87,46
358,Intro 7,334,59
359,Assessment Prep 5,529,57
360,Project 6,199,25
361,Assessment Prep 16,488,49
362,Basics 8,772,23
363,Advanced 7,856,31
364,Assessment Prep 7,669,25
365,Advanced 14,361,61
366,Hands-on 12,895,28
367,Assessment Prep 14,833,23
368,Advanced 3,807,85
369,Assessment Prep 1,964,38
370,Project 16,359,78
371,Intro 10,722,28
372,Intro 10,751,46
373,Intro 1,493,26
374,Assessment Prep 12,802,53
375,Advanced 8,284,64
376,Case Study 9,98,80
377,Case Study 18,382,21
378,Basics 13,156,38
379,Hands-on 3,664,57
380,Assessment Prep 6,904,50
381,Basics 8,485,87
382,Advanced 15,767,66
383,Advanced 9,596,21
384,Advanced 7,766,62
385,Project 1,389,81
386,Project 10,853,69
387,Project 7,704,89
388,Intro 9,116,84
389,Case Study 11,398,56
390,Assessment Prep 19,146,52
391,Project 17,703,27
392,Advanced 3,534,76
393,Hands-on 15,787,45
394,Hands-on 5,783,86
395,Basics 6,638,43
396,Hands-on 15,302,60
397,Basics 7,820,54
398,Hands-on 7,488,63
399,Project 9,545,41
400,Intro 3,73,53
401,Assessment Prep 17,806,73
402,Basics 9,684,78
403,Basics 18,55,24
404,Project 1,172,26
405,Basics 2,625,53
406,Assessment Prep 18,271,69
407,Case Study 8,853,53
408,Intro 15,783,83
409,Advanced 13,354,86
410,Project 7,223,25
411,Basics 17,531,33
412,Project 11,799,90
413,Intro 13,217,30
414,Hands-on 10,530,52
415,Assessment Prep 18,684,55
416,Case Study 10,509,29
417,Assessment Prep 15,297,25
418,Case Study 18,404,50
419,Project 1,423,20
420,Project 9,462,34
421,Hands-on 9,719,22
422,Case Study 14,892,34
423,Project 8,834,24
424,Hands-on 5,499,53
425,Hands-on 12,43,79
426,Advanced 13,342,59
427,Basics 11,129,79
428,Basics 17,1013,21
429,Advanced 3,775,27
430,Advanced 11,586,35
431,Assessment Prep 9,946,26
432,Assessment Prep 18,422,76
433,Assessment Prep 8,691,53
434,Advanced 18,730,84
435,Project 15,88,30
436,Hands-on 16,992,38
437,Intro 15,797,77
438,Project 4,357,32
439,Intro 1,733,67
440,Case Study 15,128,56
441,Intro 10,542,27
442,Case Study 7,804,42
443,Basics 11,117,56
444,Project 17,265,26
445,Project 12,197,57
446,Hands-on 3,982,30
447,Case Study 20,1026,58
448,Intro 6,383,49
449,Hands-on 14,109,45
450,Project 16,852,22
451,Hands-on 10,453,44
452,Case Study 9,298,66
453,Basics 18,791,62
454,Basics 3,796,26
455,Hands-on 4,353,31
456,Case Study 2,832,48
457,Hands-on 16,156,30
458,Advanced 13,531,34
459,Case Study 11,178,63
460,Project 12,792,74
461,Project 6,287,50
462,Basics 2,197,30
463,Case Study 9,304,47
464,Advanced 7,978,62
465,Intro 13,211,37
466,Basics 18,683,37
467,Basics 16,333,34
468,Assessment Prep 3,242,84
469,Project 7,861,54
470,Case Study 6,523,80
471,Hands-on 14,718,47
472,Advanced 15,103,58
473,Hands-on 20,678,73
474,Advanced 4,770,70
475,Basics 15,100,49
476,Basics 11,929,41
477,Assessment Prep 20,507,45
478,Case Study 16,842,77
479,Assessment Prep 3,817,75
480,Intro 12,934,50
481,Intro 19,543,64
482,Basics 2,116,41
483,Intro 13,742,27
484,Intro 19,383,66
485,Project 16,831,87
486,Basics 6,664,70
487,Project 16,705,58
488,Advanced 20,883,44
489,Basics 5,397,46
490,Hands-on 13,987,52
491,Advanced 5,261,57
492,Advanced 17,509,43
493,Hands-on 13,87,45
494,Basics 14,721,29
495,Project 19,115,82
496,Project 15,176,49
497,Advanced 11,512,81
498,Basics 2,973,68
499,Assessment Prep 9,140,71
500,Assessment Prep 3,883,37
501,Basics 12,431,82
502,Basics 11,207,76
503,Basics 16,949,58
504,Hands-on 17,235,84
505,Intro 10,360,35
506,Case Study 11,908,25
507,Case Study 12,481,54
508,Hands-on 20,929,71
509,Case Study 9,324,58
510,Basics 19,224,55
511,Advanced 13,341,26
512,Assessment Prep 12,471,79
513,Assessment Prep 18,454,53
514,Hands-on 13,804,26
515,Basics 11,914,59
516,Assessment Prep 11,542,32
517,Assessment Prep 3,287,73
518,Project 19,321,36
519,Hands-on 1,234,41
520,Intro 20,110,51
521,Basics 6,665,33
522,Hands-on 7,527,87
523,Project 3,503,26
524,Case Study 18,685,80
525,Hands-on 5,674,55
526,Hands-on 13,171,33
527,Project 7,836,45
528,Hands-on 15,567,34
529,Project 2,727,59
530,Advanced 4,689,86
531,Assessment Prep 8,121,20
532,Advanced 15,846,82
533,Hands-on 16,651,31
534,Case Study 5,158,60
535,Assessment Prep 1,161,68
536,Project 16,397,71
537,Case Study 20,50,44
538,Assessment Prep 16,65,50
539,Assessment Prep 20,339,62
540,Case Study 15,104,73
541,Project 6,704,86
542,Project 12,222,36
543,Advanced 14,430,52
544,Assessment Prep 12,263,23
545,Basics 8,489,38
546,Hands-on 19,64,89
547,Advanced 17,515,81
548,Intro 7,948,37
549,Assessment Prep 1,677,68
550,Hands-on 20,156,36
551,Advanced 1,109,64
552,Case Study 10,516,41
553,Hands-on 13,277,31
554,Intro 1,464,49
555,Advanced 20,576,38
556,Intro 1,674,90
557,Intro 14,347,81
558,Advanced 19,759,35
559,Basics 13,685,28
560,Case Study 11,641,54
561,Basics 2,336,28
562,Project 11,897,77
563,Intro 16,650,21
564,Case Study 7,858,28
565,Case Study 16,699,44
566,Intro 11,214,52
567,Hands-on 12,316,88
568,Assessment Prep 4,667,89
569,Basics 2,990,42
570,Hands-on 19,49,68
571,Basics 9,259,87
572,Hands-on 20,48,61
573,Hands-on 19,104,64
574,Basics 10,218,51
575,Hands-on 14,841,46
576,Intro 3,459,36
577,Project 18,361,40
578,Intro 19,376,75
579,Case Study 19,231,45
580,Assessment Prep 19,204,21
581,Advanced 14,649,62
582,Project 2,864,78
583,Intro 19,259,76
584,Case Study 9,193,20
585,Project 10,742,90
586,Case Study 9,166,81
587,Intro 13,170,23
588,Case Study 19,270,36
589,Project 9,886,75
590,Hands-on 18,365,39
591,Hands-on 2,989,52
592,Assessment Prep 12,737,76
593,Intro 14,390,26
594,Basics 11,366,40
595,Case Study 8,714,20
596,Basics 9,993,67
597,Case Study 14,299,82
598,Hands-on 7,269,75
599,Hands-on 7,494,26
600,Project 2,582,81
601,Advanced 3,698,85
602,Hands-on 6,66,81
603,Advanced 16,687,42
604,Basics 16,134,60
605,Case Study 19,687,76
606,Project 16,847,44
607,Advanced 1,641,66
608,Case Study 12,700,40
609,Case Study 6,303,68
610,Assessment Prep 6,308,45
611,Assessment Prep 18,529,67
612,Advanced 2,849,71
613,Advanced 15,730,44
614,Advanced 9,680,40
615,Advanced 5,896,53
616,Case Study 1,124,40
617,Project 9,664,88
618,Intro 11,300,56
619,Assessment Prep 14,206,49
620,Assessment Prep 1,1007,73
621,Assessment Prep 16,741,79
622,Assessment Prep 3,1023,34
623,Hands-on 11,909,37
624,Assessment Prep 6,367,88
625,Intro 7,872,26
626,Assessment Prep 7,219,55
627,Basics 4,497,50
628,Project 5,437,61
629,Assessment Prep 9,130,28
630,Assessment Prep 18,87,72
631,Basics 4,87,68
632,Hands-on 6,808,20
633,Case Study 9,56,70
634,Case Study 4,577,51
635,Hands-on 1,275,61
636,Advanced 4,109,43
637,Basics 20,634,44
638,Assessment Prep 1,922,70
639,Hands-on 17,592,83
640,Hands-on 11,798,35
641,Basics 7,93,35
642,Intro 7,453,66
643,Hands-on 17,836,86
644,Assessment Prep 6,456,35
645,Assessment Prep 11,198,83
646,Case Study 19,443,69
647,Intro 12,697,46
648,Advanced 19,927,68
649,Project 3,738,86
650,Advanced 8,321,78
651,Basics 18,211,87
652,Basics 17,837,56
653,Hands-on 1,891,32
654,Assessment Prep 12,358,42
655,Assessment Prep 19,389,49
656,Project 17,323,90
657,Hands-on 14,55,78
658,Assessment Prep 19,557,88
659,Advanced 12,793,61
660,Case Study 4,117,50
661,Basics 7,904,85
662,Hands-on 1,887,24
663,Hands-on 5,169,45
664,Intro 10,770,50
665,Hands-on 17,206,57
666,Assessment Prep 9,997,67
667,Advanced 14,40,22
668,Hands-on 3,505,90
669,Basics 15,100,36
670,Basics 4,109,75
671,Intro 5,910,20
672,Advanced 5,138,24
673,Case Study 18,561,77
674,Intro 20,126,66
675,Project 19,812,49
676,Basics 16,678,80
677,Hands-on 12,461,46
678,Case Study 11,282,75
679,Intro 6,754,60
680,Assessment Prep 19,604,29
681,Assessment Prep 5,633,33
682,Advanced 3,877,32
683,Assessment Prep 6,344,60
684,Case Study 16,918,50
685,Assessment Prep 6,405,30
686,Assessment Prep 15,501,56
687,Advanced 17,35,69
688,Intro 13,282,43
689,Assessment Prep 4,838,81
690,Project 14,593,80
691,Advanced 3,667,39
692,Hands-on 20,132,72
693,Intro 3,130,20
694,Case Study 1,857,77
695,Assessment Prep 6,518,49
696,Case Study 6,1009,81
697,Advanced 15,878,44
698,Intro 12,535,65
699,Basics 19,830,71
700,Intro 3,889,26
701,Basics 12,181,53
702,Intro 14,282,55
703,Assessment Prep 20,424,54
704,Project 20,470,72
705,Assessment Prep 2,419,83
706,Basics 20,608,51
707,Basics 8,634,78
708,Project 2,834,35
709,Hands-on 11,540,89
710,Intro 11,212,26
711,Hands-on 12,955,47
712,Intro 7,941,67
713,Intro 4,542,75
714,Basics 14,247,47
715,Project 13,981,81
716,Basics 2,640,83
717,Hands-on 13,908,65
718,Basics 10,89,58
719,Project 16,114,84
720,Case Study 4,294,33
721,Project 2,82,77
722,Project 19,549,34
723,Intro 18,771,82
724,Basics 8,710,42
725,Project 15,443,41
726,Hands-on 6,866,23
727,Project 14,365,55
728,Intro 13,874,80
729,Advanced 9,409,38
730,Hands-on 18,905,24
731,Case Study 6,188,90
732,Hands-on 3,635,52
733,Case Study 16,577,38
734,Hands-on 16,563,38
735,Advanced 8,698,52
736,Case Study 3,552,50
737,Basics 4,532,86
738,Hands-on 5,931,30
739,Advanced 11,84,30
740,Advanced 19,546,68
741,Advanced 19,646,58
742,Assessment Prep 6,990,90
743,Project 14,604,33
744,Basics 17,399,28
745,Assessment Prep 13,155,34
746,Case Study 1,73,72
747,Project 17,133,53
748,Hands-on 15,619,44
749,Hands-on 16,735,39
750,Basics 6,497,21
751,Hands-on 13,821,82
752,Hands-on 2,313,62
753,Basics 14,376,65
754,Case Study 2,517,56
755,Advanced 4,470,72
756,Project 3,615,78
757,Case Study 12,273,72
758,Basics 16,944,39
759,Case Study 13,117,51
760,Assessment Prep 19,762,41
761,Assessment Prep 5,250,37
762,Hands-on 13,922,35
763,Basics 1,55,32
764,Advanced 2,197,85
765,Case Study 20,729,41
766,Case Study 6,358,71
767,Advanced 2,877,59
768,Case Study 7,970,62
769,Basics 18,828,29
770,Intro 16,68,43
771,Hands-on 10,345,84
772,Basics 18,488,81
773,Assessment Prep 14,792,39
774,Case Study 7,877,26
775,Case Study 19,898,77
776,Project 14,462,65
777,Assessment Prep 12,658,61
778,Project 14,220,73
779,Project 14,990,80
780,Basics 19,787,41
781,Hands-on 17,773,86
782,Hands-on 15,1003,65
783,Project 3,337,47
784,Case Study 18,885,80
785,Intro 2,797,64
786,Intro 7,153,58
787,Case Study 19,53,58
788,Hands-on 6,354,23
789,Advanced 13,897,84
790,Project 7,648,21
791,Case Study 20,953,32
792,Project 18,630,45
793,Case Study 17,52,46
794,Basics 15,242,58
795,Hands-on 20,303,82
796,Basics 14,501,75
797,Hands-on 19,761,41
798,Case Study 15,596,34
799,Case Study 9,316,38
800,Project 12,670,59
801,Case Study 14,713,67
802,Basics 4,937,59
803,Assessment Prep 14,418,73
804,Hands-on 5,593,64
805,Assessment Prep 14,730,53
806,Intro 19,387,22
807,Basics 2,371,29
808,Hands-on 1,308,77
809,Case Study 5,158,36
810,Advanced 18,350,60
811,Case Study 17,727,75
812,Case Study 6,638,84
813,Case Study 12,548,43
814,Case Study 4,489,21
815,Hands-on 20,203,34
816,Assessment Prep 6,966,27
817,Advanced 19,617,90
818,Assessment Prep 3,867,65
819,Intro 15,477,34
820,Advanced 10,892,27
821,Hands-on 10,261,28
822,Assessment Prep 1,370,42
823,Basics 19,336,45
824,Project 14,443,68
825,Intro 19,71,31
826,Project 3,247,72
827,Assessment Prep 4,487,25
828,Project 17,736,33
829,Basics 15,736,65
830,Advanced 5,655,49
831,Assessment Prep 2,803,29
832,Hands-on 19,753,22
833,Assessment Prep 10,772,25
834,Advanced 3,928,79
835,Project 7,482,37
836,Case Study 8,611,50
837,Assessment Prep 1,984,49
838,Advanced 4,270,71
839,Basics 2,776,74
840,Basics 12,33,74
841,Intro 15,355,76
842,Hands-on 13,895,51
843,Advanced 14,195,77
844,Advanced 18,738,31
845,Advanced 4,693,60
846,Basics 4,674,61
847,Hands-on 7,364,35
848,Project 19,604,82
849,Intro 1,767,58
850,Hands-on 11,659,44
851,Advanced 17,1015,45
852,Advanced 2,463,36
853,Advanced 20,617,79
854,Basics 18,1022,44
855,Intro 5,195,68
856,Advanced 20,469,36
857,Intro 13,376,47
858,Basics 11,555,60
859,Project 20,45,28
860,Hands-on 17,306,80
861,Assessment Prep 6,931,29
862,Assessment Prep 14,286,52
863,Intro 7,896,38
864,Project 10,576,36
865,Advanced 14,356,78
866,Intro 16,315,80
867,Hands-on 12,313,54
868,Project 1,811,53
869,Advanced 20,899,66
870,Basics 18,387,84
871,Intro 3,389,42
872,Advanced 16,944,38
873,Hands-on 8,205,69
874,Basics 12,945,31
875,Hands-on 18,837,51
876,Intro 19,747,33
877,Case Study 12,150,69
878,Basics 7,670,81
879,Basics 9,874,58
880,Basics 4,603,85
881,Case Study 7,47,28
882,Project 17,475,86
883,Case Study 9,413,54
884,Advanced 15,765,45
885,Intro 16,968,31
886,Basics 6,71,40
887,Assessment Prep 8,1017,37
888,Assessment Prep 18,1020,29
889,Project 15,873,85
890,Case Study 8,352,41
891,Advanced 5,756,71
892,Advanced 3,453,79
893,Basics 9,283,83
894,Basics 20,316,63
895,Basics 19,546,20
896,Project 3,997,61
897,Intro 20,734,89
898,Intro 20,235,54
899,Intro 13,412,56
900,Basics 20,37,32
901,Intro 5,438,26
902,Project 16,273,61
903,Advanced 13,481,88
904,Hands-on 19,709,77
905,Basics 14,638,84
906,Hands-on 6,364,71
907,Intro 20,511,22
908,Assessment Prep 13,948,60
909,Basics 15,913,77
910,Advanced 9,475,42
911,Project 18,653,63
912,Project 6,331,71
913,Assessment Prep 3,585,49
914,Case Study 15,252,79
915,Assessment Prep 10,409,52
916,Project 3,691,23
917,Assessment Prep 20,659,73
918,Intro 14,411,66
919,Assessment Prep 9,624,77
920,Project 14,138,35
921,Assessment Prep 8,896,90
922,Hands-on 4,788,34
923,Project 5,995,51
924,Hands-on 14,643,37
925,Hands-on 20,577,86
926,Assessment Prep 8,678,73
927,Project 19,843,30
928,Hands-on 19,658,59
929,Case Study 9,686,62
930,Advanced 13,299,47
931,Basics 14,608,58
932,Case Study 9,782,27
933,Assessment Prep 3,977,50
934,Advanced 20,708,76
935,Advanced 12,316,84
936,Basics 1,541,76
937,Case Study 3,174,70
938,Intro 10,558,65
939,Basics 11,413,24
940,Assessment Prep 3,845,35
941,Advanced 3,444,79
942,Basics 6,145,82
943,Basics 7,819,89
944,Hands-on 4,903,85
945,Case Study 20,645,71
946,Assessment Prep 9,704,61
947,Advanced 13,44,50
948,Basics 20,462,32
949,Assessment Prep 15,332,21
950,Project 12,753,46
951,Advanced 15,805,77
952,Case Study 6,239,36
953,Advanced 12,371,74
954,Hands-on 4,89,49
955,Case Study 18,324,75
956,Case Study 7,123,64
957,Basics 19,295,71
958,Basics 16,277,43
959,Assessment Prep 18,886,67
960,Intro 4,934,72
961,Advanced 1,179,78
962,Case Study 15,235,67
963,Hands-on 14,234,21
964,Case Study 2,223,88
965,Hands-on 4,906,89
966,Case Study 20,235,73
967,Hands-on 20,379,39
968,Hands-on 2,544,29
969,Assessment Prep 12,283,32
970,Advanced 6,838,80
971,Intro 12,566,31
972,Case Study 16,404,27
973,Intro 8,997,40
974,Case Study 14,157,56
975,Advanced 5,168,76
976,Project 14,845,59
977,Case Study 3,708,44
978,Project 3,783,62
979,Case Study 1,432,87
980,Case Study 16,886,86
981,Case Study 10,672,88
982,Intro 18,280,65
983,Advanced 11,973,39
984,Intro 9,192,22
985,Case Study 14,701,81
986,Assessment Prep 15,166,45
987,Advanced 17,763,61
988,Basics 10,429,37
989,Case Study 20,890,55
990,Advanced 6,859,58
991,Case Study 4,498,75
992,Case Study 17,747,89
993,Intro 4,948,80
994,Hands-on 20,116,45
995,Advanced 9,592,62
996,Hands-on 8,754,30
997,Assessment Prep 14,245,56
998,Project 18,1017,23
999,Case Study 9,309,72
1000,Basics 18,641,52
1001,Hands-on 3,1013,49
1002,Intro 18,934,50
1003,Hands-on 13,333,33
1004,Project 3,514,84
1005,Hands-on 15,617,80
1006,Hands-on 7,763,37
1007,Intro 18,115,45
1008,Advanced 2,91,30
1009,Assessment Prep 6,482,46
1010,Assessment Prep 9,550,57
1011,Assessment Prep 4,1015,80
1012,Hands-on 4,446,24
1013,Hands-on 17,927,23
1014,Basics 15,105,33
1015,Case Study 11,843,23
1016,Assessment Prep 16,905,47
1017,Basics 7,608,63
1018,Project 3,608,56
1019,Assessment Prep 20,585,22
1020,Hands-on 3,838,55
1021,Case Study 4,947,46
1022,Basics 1,90,74
1023,Intro 13,408,57
1024,Intro 1,474,81
1025,Intro 13,763,65
1026,Intro 2,860,40
1027,Hands-on 12,395,65
1028,Advanced 12,996,20
1029,Case Study 4,929,44
1030,Advanced 8,609,89
1031,Assessment Prep 19,979,50
1032,Project 16,290,57
1033,Case Study 16,82,47
1034,Hands-on 20,466,38
1035,Project 2,422,76
1036,Hands-on 9,933,55
1037,Assessment Prep 20,212,72
1038,Assessment Prep 3,836,51
1039,Intro 8,787,70
1040,Case Study 17,744,41
1041,Basics 20,453,29
1042,Case Study 2,903,83
1043,Project 3,215,41
1044,Hands-on 15,594,28
1045,Hands-on 3,32,37
1046,Project 12,125,87
1047,Basics 15,574,44
1048,Basics 3,353,85
1049,Hands-on 15,557,32
1050,Advanced 15,881,42
1051,Assessment Prep 9,885,34
1052,Intro 9,253,29
1053,Assessment Prep 16,400,89
1054,Basics 13,352,64
1055,Intro 17,370,79
1056,Advanced 5,619,29
1057,Advanced 1,748,73
1058,Basics 11,183,22
1059,Hands-on 11,723,41
1060,Project 7,206,78
1061,Case Study 18,74,33
1062,Hands-on 20,622,23
1063,Advanced 20,458,30
1064,Project 2,934,47
1065,Intro 14,72,84
1066,Advanced 16,907,76
1067,Case Study 4,154,78
1068,Hands-on 10,176,54
1069,Assessment Prep 11,883,59
1070,Intro 9,727,88
1071,Project 17,182,56
1072,Intro 18,731,29
1073,Case Study 17,817,59
1074,Advanced 10,908,60
1075,Hands-on 7,771,62
1076,Hands-on 8,814,64
1077,Assessment Prep 9,457,49
1078,Case Study 16,671,77
1079,Basics 9,729,45
1080,Basics 17,922,89
1081,Intro 1,457,28
1082,Case Study 11,481,90
1083,Intro 5,125,85
1084,Advanced 17,586,50
1085,Project 11,133,80
1086,Assessment Prep 4,216,82
1087,Case Study 19,803,84
1088,Project 8,790,45
